"id","vocabulary_text","vocabulary_sound","kanji_text","kanji_meaning","vocabulary_meaning","highlighted","lesson_id"
"1208","それで","sorede.mp3","","","thế thì, thế nên","","28"
"1209","[ちょっと]おねがいがあるんですが。","chottoonegaigaarundesuga.mp3","[ちょっと]お願いがあるんですが。","NGUYỆN","Tôi có (chút) việc muốn nhờ anh/ chị.","","28"
"1210","ホームステイ","k_hoomusutei.mp3","","","homestay","","28"
"1211","おしゃべりします","osyaberishimasu.mp3","","","nói chuyện, tán chuyện","","28"
"1212","おしらせ","oshirase.wav","お知らせ","TRI","thông báo","","28"
"1213","ひにち","hinichi.wav","日にち","NHẬT","ngày","","28"
"1214","ど","do.wav","土","THỔ","thứ bảy","","28"
"1215","たいいくかん","taiikukan.wav","体育館","THỂ DỤC QUÁN","nhà tập, nhà thi đấu thể thao","","28"
"1216","むりょう","muryou.wav","無料","VÔ LIỆU","miễn phí","","28"
"1217","[ドアが～]あきます","akimasu.mp3","[ドアが～]開きます","KHAI","mở [cửa ~]","","29"
"1218","[ドアが～]しまります","shimarimasu.mp3","[ドアが～]閉まります","BẾ","đóng [cửa ~]","","29"
"1219","[でんきが～] つきます","tsukimasu.mp3","[電気が～]","ĐIỆN KHÍ","sáng [điện ~]","","29"
"1220","[でんきが～]きえます","kiemasu.mp3","[電気が～]消えます","ĐIỆN KHÍ TIÊU","tắt [điện ~]","","29"
"1221","[みちが～]こみます","komimasu.mp3","[道が～]込みます","ĐẠO VÀO","đông, tắc [đường ~]","","29"
"1222","[みちが～] すきます","sukimasu.mp3","[道が～]","ĐẠO","vắng, thoáng [đường ~]","","29"
"1223","[いすが～]こわれます","kowaremasu.mp3","[いすが～]壊れます","HOẠI","hỏng [cái ghế bị ~]","","29"
"1224","[コップが～]われます","waremasu.mp3","[コップが～]　割れます","CÁT","vỡ [cái cốc bị ~]","","29"
"1225","[きが～] おれます","oremasu.mp3","[木が～]折れます","MỘC TRIẾT","gãy [cái cây bị ~]","","29"
"1226","[かみが～]やぶれます","yaburemasu.mp3","[紙が～]破れます","CHỈ PHÁ","rách [tờ giấy bị ~]","","29"
"1227","[ふくが～]よごれます","yogoremasu.mp3","[服が～]汚れます","PHỤC Ô","bẩn [quần áo bị ~]","","29"
"1228","[ポケットが～]つきます","tsukimasu.mp3","[ポケットが～]付きます","PHÓ","có, có gắn, có kèm theo [túi]","","29"
"1229","[ボタンが～]はずれます","hazuremasu.mp3","[ボタンが～]外れます","NGOẠI","tuột, bung [cái cúc bị ~]","","29"
"1230","[エレベーターが～]とまります","tomarimasu.mp3","[エレベーターが～]止まります","CHỈ","dừng [thang máy ~]","","29"
"1231","まちがえます","machigaemasu.mp3","","","nhầm, sai","","29"
"1232","おとします","otoshimasu.mp3","落とします","LẠC","đánh rơi","","29"
"1233","[かぎが～]かかります","kakarimasu.mp3","[かぎが～]掛かります","QUẢI","khóa [chìa khóa ~]","","29"
"1234","[お]さら","osara.mp3","[お]皿","MÃNH","cái đĩa","","29"
"1235","[お]ちゃわん","ochawan.mp3","","","cái bát","","29"
"1236","コップ","k_koppu.mp3","","","cái cốc","","29"
"1237","ガラス","k_garasu.mp3","","","thủy tinh (glass)","","29"
"1238","ふくろ","fukuro.mp3","袋","ĐẠI","cái túi","","29"
"1239","さいふ","saifu.mp3","財布","TÀI BỐ","cái ví","","29"
"1240","えだ","eda.mp3","枝","CHI","cành cây","","29"
"1241","えきいん","ekiin.mp3","駅員","DỊCH VIÊN","nhân viên nhà ga","","29"
"1242","このへん","konohen.mp3","この辺","BIẾN","xung quanh đây, gần đây","","29"
"1243","～へん","hen.mp3","～辺","BIẾN","xung quanh ~, chỗ ~","","29"
"1244","このぐらい","konogurai.mp3","","","khoảng ngần này, cỡ khoảng như thế này","","29"
"1245","おさきにどうぞ。","osakinidouzo.mp3","お先にどうぞ。","TIÊN","Xin mời anh/chị đi trước.","","29"
"1246","[ああ、]よかった。","aayokatta.mp3","","","ồ, may quá.","","29"
"1247","いまのでんしゃ","imanodensya.mp3","今の電車","KIM ĐIỆN XA","đoàn tàu vừa rồi","","29"
"1248","わすれもの","wasuremono.mp3","忘れ物","VONG VẬT","vật để quên","","29"
"1249","～がわ","gawa.mp3","～側","TRẮC","phía ~, bên ~","","29"
"1250","ポケット","k_poketto.mp3","","","túi áo, túi quần (pocket)","","29"
"1251","おぼえていません","oboeteimasen.mp3","覚えていません。","GIÁC","Tôi không nhớ.","","29"
"1252","あみだな","amidana.mp3","網棚","VÕNG BẰNG","giá lưới, giá hành lý (trên tàu)","","29"
"1253","たしか","tashika.mp3","確か","XÁC","nếu không lầm thì","","29"
"1254","よつや","yotuya.wav","四ツ谷","TỨ CỐC","tên một nhà ga ở Tokyo","","29"
"1255","じしん","jishin.wav","地震","ĐỊA CHẤN","động đất","","29"
"1256","かべ","kabe.wav","壁","BÍCH","bức tường","","29"
"1257","はり","hari.wav","針","CHÂM","kim đồng hồ","","29"
"1258","さします","sashimasu.wav","指します","CHỈ","chỉ","","29"
"1259","えきまえ","ekimae.wav","駅前","DỊCH TIỀN","khu vực trước nhà ga","","29"
"1260","たおれます","taoremasu.wav","倒れます","ĐẢO","đổ","","29"
"1261","にし","nishi.wav","西","TÂY","tây, phía tây","","29"
"1262","ほう","hou.wav","方","PHƯƠNG","hướng, phương hướng","","29"
"1263","さんのみや","sannomiya.wav","三宮","TAM CUNG","tên một địa điểm ở Kobe","","29"
"1264","はります","harimasu.mp3","","","dán, dán lên","","30"
"1265","かけます","kakemasu.mp3","掛けます","QUẢI","treo","","30"
"1266","かざります","kazarimasu.mp3","飾ります","SỨC","trang trí","","30"
"1267","ならべます","narabemasu.mp3","並べます","TỊNH","xếp thành hàng","","30"
"1268","うえます","uemasu.mp3","植えます","THỰC","trồng (cây)","","30"
"1269","もどします","modoshimasu.mp3","戻します","LỆ","đưa về, trả về, để lại vị trí ban đầu","","30"
"1270","まとめます","matomemasu.mp3","","","nhóm lại, tóm tắt","","30"
"1271","かたづけます","katadukemasu.mp3","片づけます","PHIẾN","dọn dẹp, sắp xếp","","30"
"1272","しまいます","shimaimasu.mp3","","","cất vào, để vào","","30"
"1273","きめます","kimemasu.mp3","決めます","QUYẾT","quyết định","","30"
"1274","しらせます","shirasemasu.mp3","知らせます","TRI","thông báo, báo","","30"
"1275","そうだんします","soudanshimasu.mp3","相談します","TƯƠNG ĐÀM","trao đổi, bàn bạc, tư vấn","","30"
"1276","よしゅうします","yosyuushimasu.mp3","予習します","DỰ TẬP","chuẩn bị bài mới","","30"
"1277","ふくしゅうします","fukusyuushimasu.mp3","復習します","PHỤC TẬP","ôn bài cũ","","30"
"1278","そのままにします","sonomamanishimasu.mp3","","","để nguyên như thế","","30"
"1279","おこさん","okosan.mp3","お子さん","TỬ","con (dùng đối với người khác)","","30"
"1280","じゅぎょう","jugyou.mp3","授業","THỤ NGHIỆP","giờ học","","30"
"1281","こうぎ","kougi.mp3","講義","GIẢNG NGHĨA","bài giảng","","30"
"1282","ミーティング","k_miitexingu.mp3","","","cuộc họp","","30"
"1283","よてい","yotei.mp3","予定","DỰ ĐỊNH","kế hoạch, dự định","","30"
"1284","おしらせ","oshirase.mp3","お知らせ","TRI","bản thông báo","","30"
"1285","あんないしょ","annaisyo.mp3","案内書","ÁN NỘI THƯ","sách/tài liệu hướng dẫn","","30"
"1286","カレンダー","k_karendaa.mp3","","","lịch, tờ lịch","","30"
"1287","ポスター","k_posutaa.mp3","","","tờ pa-nô, áp phích, tờ quảng cáo","","30"
"1288","ごみばこ","gomibako.mp3","ごみ箱","TƯƠNG","thùng rác","","30"
"1289","にんぎょう","ningyou.mp3","人形","NHÂN HÌNH","con búp bê, con rối","","30"
"1290","かびん","kabin.mp3","花瓶","HOA BÌNH","lọ hoa","","30"
"1291","かがみ","kagami.mp3","鏡","KÍNH","cái gương","","30"
"1292","ひきだし","hikidashi.mp3","引き出し","DẪN XUẤT","ngăn kéo","","30"
"1293","げんかん","genkan.mp3","玄関","HUYỀN QUAN","cửa vào","","30"
"1294","ろうか","rouka.mp3","廊下","LANG HẠ","hành lang","","30"
"1295","かべ","kabe.mp3","壁","BÍCH","bức tường","","30"
"1296","いけ","ike.mp3","池","TRÌ","cái ao","","30"
"1297","こうばん","kouban.mp3","交番","GIAO PHIÊN","trạm/bốt cảnh sát","","30"
"1298","もとのところ","motonotokoro.mp3","元の所","NGUYÊN SỞ","địa điểm ban đầu, địa điểm gốc","","30"
"1299","まわり","mawari.mp3","周り","CHU","xung quanh","","30"
"1300","まんなか","mannaka.mp3","真ん中","CHÂN TRUNG","giữa, trung tâm","","30"
"1301","すみ","sumi.mp3","隅","NGUNG","góc","","30"
"1302","まだ","mada.mp3","","","chưa","","30"
"1303","～ほど","hodo.mp3","","","khoảng ~, chừng ~","","30"
"1304","よていひょう","yoteihyou.mp3","予定表","DỰ ĐỊNH BIỂU","lịch, thời khóa biểu","","30"
"1305","ごくろうさま","gokurousama.mp3","ご苦労さま。","KHỔ LAO","Anh/chị đã làm việc vất vả./cám ơn anh/chị. (câu nói dùng để bày tỏ sự cám ơn hoặc thông cảm với sự vất vả khi ai đó làm xong một việc gì)","","30"
"1306","きぼう","kibou.mp3","希望","HY VỌNG","hi vọng, nguyện vọng","","30"
"1307","なにかごきぼうがありますか","nanikagokibougaarimasuka.mp3","なにかご希望がありますか。","HY VỌNG","Anh/chị có nguyện vọng gì không?/ anh/chị có yêu cầu gì không?","","30"
"1308","ミュージカル","k_myuujikaru.mp3","","","ca kịch","","30"
"1309","それはいいですね。","sorehaiidesune.mp3","","","Điều đó được đấy nhỉ./ Hay quá nhỉ","","30"
"1310","ブロードウェイ","burodowie.wav","","","Broadway","","30"
"1311","まるい","marui.wav","丸い","HOÀN","tròn","","30"
"1312","つき","tsuki.wav","月","NGUYỆT","mặt trăng, trăng","","30"
"1313","ある～","aru.wav","","","có ~, một ~","","30"
"1314","ちきゅう","chikyuu.wav","地球","ĐỊA CẦU","trái đất","","30"
"1315","うれしい","ureshii.wav","","","vui","","30"
"1316","いや「な」","iya.wav","嫌[な]","HIỀM","chán, ghét, không chấp nhận được","","30"
"1317","すると","suruto.wav","","","sau đó, tiếp đó, rồi, khi ~ như vậy thì","","30"
"1318","めが　さめます","megasamemasu.wav","目が覚めます","MỤC GIÁC","tỉnh giấc, mở mắt","","30"
"1319","[しきが～]はじまります","hajimarimasu.mp3","[式が～]始まります","THỨC THỦY","bắt đầu [buổi lễ ~]","","31"
"1320","つづけます","tsudukemasu.mp3","続けます","TỤC","tiếp tục","","31"
"1321","みつけます","mitsukemasu.mp3","見つけます","KIẾN","tìm, tìm thấy","","31"
"1322","[しけんを～]うけます","ukemasu.mp3","[試験を～]受けます","THÍ NGHIỆM THỤ/THỌ","thi [kỳ thi]","","31"
"1323","[だいがくに～] にゅうがくします","nyuugakushimasu.mp3","[大学に～]入学します","ĐẠI HỌC NHẬP HỌC","nhập học, vào [(trường) đại học]","","31"
"1324","[だいがくを～]そつぎょうします","sotsugyoushimasu.mp3","[大学を～]卒業します","ĐẠI HỌC TỐT NGHIỆP","tốt nghiệp [(trường) đại học]","","31"
"1325","[かいぎに～] しゅっせきします","syussekishimasu.mp3","[会議に～]出席します","HỘI NGHỊ XUẤT TỊCH","tham dự, tham gia [cuộc họp]","","31"
"1326","きゅうけいします","kyuukeishimasu.mp3","休憩します","HƯU KHẾ","nghỉ, giải lao","","31"
"1327","れんきゅう","renkyuu.mp3","連休","LIÊN HƯU","ngày nghỉ liền nhau","","31"
"1328","さくぶん","sakubun.mp3","作文","TÁC VĂN","bài văn","","31"
"1329","てんらんかい","tenrankai.mp3","展覧会","TRIỂN LÃM HỘI","triển lãm","","31"
"1330","けっこんしき","kekkoshiki.mp3","結婚式","KẾT HÔN THỨC","lễ cưới, đám cưới","","31"
"1331","[お]そうしき","osoushiki.mp3","[お]葬式","TÁNG THỨC","lễ tang, đám tang","","31"
"1332","しき","shiki.mp3","式","THỨC","lễ, đám","","31"
"1333","ほんしゃ","honsya.mp3","本社","BẢN XÃ","trụ sở chính","","31"
"1334","してん","shiten.mp3","支店","CHI ĐIẾM","chi nhánh","","31"
"1335","きょうかい","kyoukai.mp3","教会","GIÁO HỘI","nhà thờ","","31"
"1336","だいがくいん","daigakuin.mp3","大学院","ĐẠI HỌC VIỆN","cao học, sở giáo dục trên đại học","","31"
"1337","どうぶつえん","doubutsuen.mp3","動物園","ĐỘNG VẬT VIÊN","vườn thú, vườn bách thú","","31"
"1338","おんせん","onsen.mp3","温泉","ÔN TUYỀN","suối nước nóng","","31"
"1339","おきゃく[さん]","okyakusan.mp3","お客[さん]","KHÁCH","khách hàng","","31"
"1340","だれか","dareka.mp3","","","ai đó","","31"
"1341","～のほう","nohou.mp3","～の方","PHƯƠNG","phía ~, hướng ~","","31"
"1342","ずっと","zutto.mp3","","","suốt, liền","","31"
"1343","ピカソ","K_pikaso.mp3","","","Pablo Picasso, danh họa người Tây Ban Nha (1881-1973)","","31"
"1344","うえのこうえん","uenokouen.mp3","上野公園","THƯỢNG DÃ CÔNG VIÊN","Công viên Ueno (ở Tokyo)","","31"
"1345","のこります","nokorimasu.mp3","残ります","TÀN","ở lại","","31"
"1346","つきに","tsukini.mp3","月に","NGUYỆT","một tháng","","31"
"1347","ふつうの","futsuno.mp3","普通の","PHỔ THÔNG","thường, thông thường","","31"
"1348","インターネット","k_intaanetto.mp3","","","Internet","","31"
"1349","むら","mura.wav","村","THÔN","làng","","31"
"1350","えいがかん","eigakan.wav","映画館","ẢNH HỌA QUÁN","rạp chiếu phim","","31"
"1351","いや「な」","iya.wav","嫌[な]","HIỀM","chán, ghét, không chấp nhận được","","31"
"1352","そら","sora.wav","空","KHÔNG","bầu trời","","31"
"1353","とじます","tojimasu.wav","閉じます","BẾ","đóng, nhắm","","31"
"1354","とかい","tokai.wav","都会","ĐÔ HỘI","thành phố, nơi đô hội","","31"
"1355","こどもたち","kodomotachi.wav","子供たち","TỬ CUNG","trẻ em, trẻ con","","31"
"1356","じゆうに","jiyuuni.wav","自由に","TỰ DO","tự do","","31"
"1357","せかいじゅう","sekaiju.wav","世界中","THẾ GIỚI TRUNG","khắp thế giới","","31"
"1358","あつまります","atsumarimasu.wav","集まります","TẬP","tập trung","","31"
"1359","うつくしい","utsukushi.wav","美しい","MỸ","đẹp","","31"
"1360","しぜん","shizen.wav","自然","TỰ NHIÊN","tự nhiên, thiên nhiên","","31"
"1361","すばらしさ","subarashisa.wav","","","tuyệt vời","","31"
"1362","きがつきます","kigatsukimasu.wav","気がつきます","KHÍ","để ý, nhận ra","","31"
"1363","うんどうします","undoushimasu.mp3","運動します","VẬN ĐỘNG","vận động, tập thể thao","","32"
"1364","せいこうします","seikoushimasu.mp3","成功します","THÀNH CÔNG","thành công","","32"
"1365","[しけんに～]しっぱいします","shippaishimasu.mp3","[試験に～]失敗します","THÍ NGHIỆM THẤT BẠI","thất bại, trượt [thi~]","","32"
"1366","[しけんに～]ごうかくします","gokakushimasu.mp3","[試験に～]合格します","THÍ NGHIỆM HỢP CÁCH","đỗ [thi~]","","32"
"1367","もどります","modorimasu.mp3","戻ります","LỆ","quay lại, trở lại","","32"
"1368","[あめが～] やみます","yamimasu.mp3","[雨が～]","VŨ","tạnh, ngừng [mưa ~]","","32"
"1369","はれます","haremasu.mp3","晴れます","TÌNH","nắng, quang đãng","","32"
"1370","くもります","kumorimasu.mp3","曇ります","ĐÀM","có mây, mây mù","","32"
"1371","[かぜが～]ふきます","fukimasu.mp3","[風が～]吹きます","PHONG XÚY","thổi [gió ~]","","32"
"1372","[びょうきが～]なおります","naorimasu.mp3","[病気が～]治ります，直ります","BỆNH KHÍ TRỊ TRỰC","khỏi [bệnh]","","32"
"1373","[こしょうが～]なおります","naorimasu.mp3","[故障が～]","CỐ CHƯỚNG","đã được sửa [chỗ hỏng ~]","","32"
"1374","[ねつが～]つづきます","tsuzukimasu.mp3","[熱が～]続きます","NHIỆT TỤC","tiếp tục, tiếp diễn [sốt]","","32"
"1375","[かぜを～]ひきます","hikimasu.mp3","","","bị [cảm]","","32"
"1376","ひやします","hiyashimasu.mp3","冷やします","LÃNH","làm lạnh","","32"
"1377","しんぱい[な]","shinpai.mp3","心配[な]","TÂM PHỐI","lo lắng","","32"
"1378","じゅうぶん[な]","juubun.mp3","十分[な]","THẬP PHÂN","đủ","","32"
"1379","おかしい","okashii.mp3","","","có vấn đề, không bình thường, buồn cười","","32"
"1380","うるさい","urusai.mp3","","","ồn ào, (âm thanh) to","","32"
"1381","やけど","yakedo.mp3","","","bỏng (～をします：bị bỏng)","","32"
"1382","けが","kega.mp3","","","vết thương (～をします：bị thương)","","32"
"1383","せき","seki.mp3","","","ho (～がでます：bị ho)","","32"
"1384","インフルエンザ","k_infuruenza.mp3","","","cúm dịch","","32"
"1385","そら","sora.mp3","空","KHÔNG","bầu trời","","32"
"1386","たいよう","taiyou.mp3","太陽","THÁI DƯƠNG","mặt trời","","32"
"1387","ほし","hoshi.mp3","星","TINH","sao, ngôi sao","","32"
"1388","つき","tsuki.mp3","月","NGUYỆT","trăng, mặt trăng","","32"
"1389","かぜ","kaze.mp3","風","PHONG","gió","","32"
"1390","きた","kita.mp3","北","BẮC","bắc","","32"
"1391","みなみ","minami.mp3","南","NAM","nam","","32"
"1392","にし","nishi.mp3","西","TÂY","tây","","32"
"1393","ひがし","higashi.mp3","東","ĐÔNG","đông","","32"
"1394","すいどう","suidou.mp3","水道","THỦY ĐẠO","nước máy","","32"
"1395","エンジン","k_enjin.mp3","","","động cơ","","32"
"1396","チーム","k_chiimu.mp3","","","đội","","32"
"1397","こんや","konya.mp3","今夜","KIM DẠ","tối nay, đêm nay","","32"
"1398","ゆうがた","yuugata.mp3","夕方","TỊCH PHƯƠNG","chiều tối","","32"
"1399","まえ","mae.mp3","","","trước","","32"
"1400","おそく","osoku.mp3","遅く","TRÌ","muộn, khuya","","32"
"1401","こんなに","konnani.mp3","","","như thế này","","32"
"1402","そんなに","sonnani.mp3","","","như thế đó (về vấn đề có quan hệ với người nghe)","","32"
"1403","あんなに","annani.mp3","","","như thế kia (về vấn đề không có quan hệ với người nói và người nghe)","","32"
"1404","もしかしたら","moshikashitara.mp3","","","có thể, biết đâu là, có khả năng","","32"
"1405","それはいけませんね。","sorehaikemasenne.mp3","","","Thế thì thật không tốt.","","32"
"1406","オリンピック","K_orinpikku.mp3","","","Olympic","","32"
"1407","げんき","genki.mp3","元気","NGUYÊN KHÍ","khỏe, khỏe mạnh","","32"
"1408","い","i.mp3","胃","VỊ","dạ dày","","32"
"1409","はたらきすぎ","hatarakisugi.mp3","働きすぎ","ĐỘNG","làm việc quá sức, làm việc nhiều quá","","32"
"1410","ストレス","k_sutoresu.mp3","","","Stress, căng thẳng tâm lý","","32"
"1411","むりをします","muriwoshimasu.mp3","無理をします","VÔ LÝ","làm quá sức, làm quá khả năng","","32"
"1412","ゆっくりします","yukkurishimasu.mp3","","","nghỉ ngơi, thư thái, dưỡng sức","","32"
"1413","ほしうらない","hoshiuranai.wav","星占い","TINH CHIẾM","bói sao","","32"
"1414","おうしざ","oushiza.wav","牡牛座","MẪU NGƯU TỌA","chòm sao Kim Ngưu","","32"
"1415","こまります","komarimasu.wav","困ります","KHỐN","rắc rối, khó xử, có vấn đề","","32"
"1416","たからくじ","takarakuji.wav","宝くじ","BẢO","xổ số","","32"
"1417","あたります","atarimasu.wav","[宝くじが～]当たります","BẢO ĐƯƠNG","Trúng~ trúng [xổ số]","","32"
"1418","けんこう","kenkou.wav","健康","KIỆN KHANG","sức khỏe, khỏe mạnh, an khang","","32"
"1419","れんあい","renai.wav","恋愛","LUYẾN ÁI","tình yêu","","32"
"1420","こいびと","koibito.wav","恋人","LUYẾN NHÂN","người yêu","","32"
"1421","「お」かねもち","okanemochi.wav","[お]金持ち","KIM TRÌ","người giàu có, người có nhiều tiền","","32"
"1422","にげます","nigemasu.mp3","逃げます","ĐÀO","chạy trốn, bỏ chạy","","33"
"1423","さわぎます","sawagimasu.mp3","騒ぎます","TAO","làm ồn, làm rùm beng","","33"
"1424","あきらめます","akiramemasu.mp3","","","từ bỏ, đầu hàng","","33"
"1425","なげます","nagemasu.mp3","投げます","ĐẦU","ném","","33"
"1426","まもります","mamorimasu.mp3","守ります","THỦ","bảo vệ, tuân thủ, giữ","","33"
"1427","あげます","agemasu.mp3","上げます","THƯỢNG","nâng, nâng lên, tăng lên","","33"
"1428","さげます","sagemasu.mp3","下げます","HẠ","hạ, hạ xuống, giảm xuống","","33"
"1429","つたえます","tsutaemasu.mp3","伝えます","TRUYỀN","truyền, truyền đạt","","33"
"1430","[くるまに～]ちゅういします","chyuuishimasu.mp3","[車に～]注意します","XA CHÚ Ý","chú ý [ô tô]","","33"
"1431","[せきを～] はずします","hazushimasu.mp3","[席を～]外します","TỊCH NGOẠI","rời, không có ở [chỗ ngồi]","","33"
"1432","だめ[な]","dame.mp3","","","hỏng, không được, không thể","","33"
"1433","せき","seki.mp3","席","TỊCH","chỗ ngồi, ghế","","33"
"1434","ファイト","k_fuxaito.mp3","","","“quyết chiến”, “cố lên”","","33"
"1435","マーク","k_maaku.mp3","","","ký hiệu (Mark)","","33"
"1436","ボール","k_booru.mp3","","","quả bóng","","33"
"1437","せんたくき","sentakuki.mp3","洗濯機","TẨY TRẠC CƠ","máy giặt","","33"
"1438","～き","ki.mp3","～機","CƠ","máy ~","","33"
"1439","きそく","kisoku.mp3","規則","QUY TẮC","quy tắc, kỷ luật","","33"
"1440","しようきんし","shiyoukinshi.mp3","使用禁止","SỬ DỤNG CẤM CHỈ","cấm sử dụng","","33"
"1441","たちいりきんし","tachiirikinshi.mp3","立入禁止","LẬP NHẬP CẤM CHỈ","cấm vào","","33"
"1442","いりぐち","iriguchi.mp3","入口","NHẬP KHẨU","cửa vào","","33"
"1443","でぐち","deguchi.mp3","出口","XUẤT KHẨU","cửa ra","","33"
"1444","ひじょうぐち","hijouguchi.mp3","非常口","PHI THƯỜNG KHẨU","cửa thoát hiểm","","33"
"1445","むりょう","muryou.mp3","無料","VÔ LIỆU","miễn phí","","33"
"1446","ほんじつきゅうぎょう","honjitsukyuugyou.mp3","本日休業","BẢN NHẬT HƯU NGHIỆP","hôm nay đóng cửa, hôm nay nghỉ","","33"
"1447","えいぎょうちゅう","eigyouchuu.mp3","営業中","DOANH NGHIỆP TRUNG","đang mở cửa","","33"
"1448","しようちゅう","shiyouchuu.mp3","使用中","SỬ DỤNG TRUNG","đang sử dụng","","33"
"1449","～ちゅう","chyu.mp3","～中","TRUNG","đang ~","","33"
"1450","どういう～","douiu.mp3","","","~ gì, ~ thế nào","","33"
"1451","もう","mou.mp3","","","không ~ nữa","","33"
"1452","あと～","ato.mp3","","","còn ~","","33"
"1453","ちゅうしゃいはん","chuusyaihan.mp3","駐車違反","TRÚ XA VI PHẢN","đỗ xe trái phép","","33"
"1454","そりゃあ","soryaa.mp3","","","thế thì, ồ","","33"
"1455","～いない","inai.mp3","～以内","DĨ NỘI","trong khoảng ~, trong vòng ~","","33"
"1456","けいさつ","keisatsu.mp3","警察","CẢNH SÁT","cảnh sát","","33"
"1457","ばっきん","bakkin.mp3","罰金","PHẠT KIM","tiền phạt","","33"
"1458","でんぽう","denpou.wav","電報","ĐIỆN BÁO","bức điện, điện báo","","33"
"1459","ひとびと","hitobito.wav","人々","NHÂN(KÉP)","người, những người","","33"
"1460","きゅうよう","kyuyou.wav","急用","CẤP DỤNG","việc gấp, việc khẩn","","33"
"1461","うちます","uchimasu.wav","[電報を～]打ちます","ĐIỆN BÁO ĐẢ","gửi [bức điện]","","33"
"1462","でんぽうだい","denpoudai.wav","電報代","ĐIỆN BÁO ĐẠI","tiền cước điện báo","","33"
"1463","できるだけ","dekirudake.wav","","","cố gắng, trong khả năng có thể","","33"
"1464","みじかく","mijikaku.wav","短く","ĐOẢN","ngắn gọn, đơn giản","","33"
"1465","また","mata.wav","","","thêm nữa","","33"
"1466","たとえば","tatoeba.wav","例えば","LỆ","ví dụ","","33"
"1467","キトク","kitoku.wav","（危篤）","NGUY ĐỐC","tình trạng hiểm nghèo","","33"
"1468","おもいびょうき","omoibyouki.wav","重い病気","TRỌNG BỆNH KHÍ","bệnh nặng","","33"
"1469","あす","asu.wav","明日","MINH NHẬT","ngày mai","","33"
"1470","るす","rusu.wav","留守","LƯU THỦ","vắng nhà","","33"
"1471","るすばん","rusuban.wav","留守番","LƯU THỦ PHIÊN","trông nhà, giữ nhà","","33"
"1472","「お」いわい","oiwai.wav","[お]祝い","CHÚC","việc mừng, vật mừng","","33"
"1473","なくなります","nakunarimasu.wav","亡くなります","VONG","chết, mất","","33"
"1474","かなしみ","kanashimi.wav","悲しみ","BI","buồn","","33"
"1475","りようします","riyoushimasu.wav","利用します","LỢI DỤNG","sử dụng, lợi dụng, tận dụng, dùng","","33"
"1476","[はを～]みがきます","migakimasu.mp3","[歯を～]磨きます","XỈ MA","mài, đánh [răng]","","34"
"1477","くみたてます","kumitatemasu.mp3","組み立てます","TỔ LẬP","lắp, lắp ráp, lắp đặt","","34"
"1478","おります","orimasu.mp3","折ります","TRIẾT","gấp, gập, bẻ gãy","","34"
"1479","[わすれものに～] きがつきます","kigatsukimasu.mp3","[忘れ物に～]気がつきます","VONG VẬT KHÍ","nhận thấy, phát hiện [đồ bỏ quên]","","34"
"1480","[しょうゆを～] つけます","tsukemasu.mp3","","","chấm [xì-dầu]","","34"
"1481","[かぎが～]みつかります","mitsukarimasu.mp3","[かぎが～]見つかります","KIẾN","được tìm thấy [chìa khóa ~]","","34"
"1482","[ネクタイを～]します","shimasu.mp3","","","đeo, thắt [cà-vạt]","","34"
"1483","しつもんします","shitsumonshimasu.mp3","質問します","CHẤT VẤN","hỏi","","34"
"1484","ほそい","hosoi.mp3","細い","TẾ","gầy, hẹp, thon","","34"
"1485","ふとい","futoi.mp3","太い","THÁI","béo, to","","34"
"1486","ぼんおどり","bonodori.mp3","盆踊り","BỒN DŨNG","múa trong hội Bon","","34"
"1487","スポーツクラブ","k_supootsukurabu.mp3","","","câu lạc bộ thể thao, câu lạc bộ thể hình","","34"
"1488","かぐ","kagu.mp3","家具","GIA CỤ","gia cụ, đồ dùng nội thất","","34"
"1489","キー","ki-.wav","","","chìa khóa","","34"
"1490","シートベルト","k_shiitoberuto.mp3","","","dây an toàn (ở ghế ngồi)","","34"
"1491","せつめいしょ","setsumeisyo.mp3","説明書","THUYẾT MINH THƯ","quyển hướng dẫn","","34"
"1492","ず","zu.mp3","図","ĐỒ","sơ đồ, hình vẽ","","34"
"1493","せん","sen.mp3","線","TUYẾN","đường","","34"
"1494","やじるし","yajirushi.mp3","矢印","THỈ ẤN","dấu mũi tên","","34"
"1495","くろ","kuro.mp3","黒","HẮC","màu đen","","34"
"1496","しろ","shiro.mp3","白","BẠCH","màu trắng","","34"
"1497","あか","aka.mp3","赤","XÍCH","màu đỏ","","34"
"1498","あお","ao.mp3","青","THANH","màu xanh da trời","","34"
"1499","こん","kon.mp3","紺","CÁM","màu xanh lam","","34"
"1500","きいろ","kiiro.mp3","黄色","HOÀNG SẮC","màu vàng","","34"
"1501","しょうゆ","syouyu.mp3","","","xì dầu","","34"
"1502","ソース","k_soosu.mp3","","","nước chấm, nước xốt","","34"
"1503","～か～","ka.mp3","","","~hay ~","","34"
"1504","ゆうべ","yuube.mp3","","","tối qua, đêm qua","","34"
"1505","さっき","sakki.mp3","","","vừa rồi, vừa lúc nãy","","34"
"1506","さどう","sadou.mp3","茶道","TRÀ ĐẠO","trà đạo","","34"
"1507","おちゃをたてます","ochawotatemasu.mp3","お茶をたてます","TRÀ","pha trà, khuấy trà","","34"
"1508","さきに","sakini.mp3","先に","TIÊN","trước","","34"
